"","Data","Aleje Jerozolimskie/pl. Zawiszy - suma","Banacha/Żwirki i Wigury (display)","Czerniakowska - suma","Marsa","Marszałkowska/Metro Świętokrzyska","NSR Most Gdański - suma","NSR Solec - suma","Radzymińska/Jórskiego","Szaserów - suma","Targowa/Dworzec Wileński","Towarowa/Łucka","Wiertnicza","Świętokrzyska/Emilii Plater - suma","Świętokrzyska/Zielna (display)","Żwirki i Wigury/Trojdena - suma"
"1",2020-07-23,268,3282,1548,728,713,2975,4355,1052,814,1910,2197,1203,7598,3722,2727
"2",2020-07-24,288,3572,1558,935,889,4319,5861,1228,987,2044,2335,1690,8372,4143,3327
"3",2020-07-25,215,2823,1270,820,703,5445,7053,1130,749,1968,1529,2075,4188,3814,2579
"4",2020-07-26,173,2748,1391,915,599,6579,7460,1111,950,2095,1437,2563,3311,3798,3164
"5",2020-07-27,268,3157,647,733,636,2417,698,1064,805,1624,2047,1217,2656,3278,2921
"6",2020-07-28,322,3871,967,916,751,3745,0,1127,948,2005,2581,1666,3648,3954,3599
"7",2020-07-29,294,3904,957,827,861,4246,5309,1255,977,1973,2568,1752,0,4310,3568
"8",2020-07-30,310,4086,1028,951,886,4415,7041,1278,1078,2095,2524,1728,0,4544,3662
"9",2020-07-31,250,3382,774,763,758,3293,5373,1105,796,1816,2148,1350,925,3712,2905
"10",2020-08-01,259,2657,1161,757,926,4909,8036,1248,701,2059,1640,1946,4923,4372,2428
"11",2020-08-02,200,3272,1594,1179,702,7120,9711,1341,968,1976,1623,2636,4543,4231,3126
"12",2020-08-03,250,2568,469,522,504,1629,2898,747,545,1383,1591,789,3154,2474,2086
"13",2020-08-04,106,1254,155,218,219,606,1178,284,275,594,625,252,1320,1089,892
"14",2020-08-05,315,4221,2175,918,849,4720,7378,1271,1157,2076,2241,1932,5466,4315,3430
"15",2020-08-06,309,4179,2204,963,674,4567,7242,1312,1040,2099,2491,1763,8206,4417,3559
"16",2020-08-07,237,3490,2012,751,790,3891,6414,1114,881,1966,2161,1549,8107,4266,2876
"17",2020-08-08,193,2431,2184,727,678,4150,7197,989,665,1783,1395,1398,6554,3516,2164
"18",2020-08-09,126,2430,2138,790,493,4620,6500,864,723,1650,1216,0,5403,2939,2287
"19",2020-08-10,239,3548,1978,869,731,3738,5841,1140,914,1948,2155,0,7930,4140,3069
"20",2020-08-11,306,3893,2335,892,763,4296,6576,1254,1014,2198,2454,2,8537,4443,3327
"21",2020-08-12,288,4001,2311,1017,793,4539,7235,1354,1058,2209,2360,0,8579,4787,3336
"22",2020-08-13,297,3633,2149,929,784,3819,6196,1187,1041,2052,2186,0,8175,4151,3051
"23",2020-08-14,256,2883,2075,796,729,3627,5757,1069,817,2011,1602,0,7187,4276,2302
"24",2020-08-15,157,2424,2660,845,795,6272,8514,1089,804,1893,1138,0,6851,4223,2300
"25",2020-08-16,200,2620,2679,963,619,5829,8304,1106,895,1951,1299,0,6366,4358,2637
"26",2020-08-17,272,3052,1683,734,675,2669,4455,969,800,1884,1912,803,6991,3884,2617
"27",2020-08-18,279,3529,1957,805,744,3513,5838,1222,953,1923,2089,1513,8387,3838,2811
"28",2020-08-19,289,3690,2165,844,829,3673,5879,1207,1025,2044,2239,1624,8473,4152,2999
"29",2020-08-20,270,3975,2255,871,807,4307,6734,1242,1006,2185,2315,1671,8483,4567,3141
"30",2020-08-21,281,3417,1965,778,755,3768,6387,1215,861,2052,2071,1533,7853,4115,2655
"31",2020-08-22,122,1547,1463,480,383,2446,3760,701,467,1173,847,1200,3686,1776,1244
"32",2020-08-23,151,2285,1969,891,104,4808,6882,1385,806,1691,1187,1655,5831,2826,1939
"33",2020-08-24,270,3577,1872,868,0,3393,5428,0,976,2132,2169,1462,7541,3585,2858
"34",2020-08-25,264,3109,1752,716,0,3260,5056,0,106,1959,1917,1378,6876,3299,2432
"35",2020-08-26,3,2710,1221,582,0,1819,3273,0,0,1561,1827,950,5900,2746,2054
"36",2020-08-27,0,1330,540,1841,0,812,1511,0,0,897,789,377,3017,1408,869
"37",2020-08-28,0,2733,1707,0,0,2935,4857,0,0,1661,1697,1394,6209,3060,2133
"38",2020-08-29,0,1435,1023,0,2,2512,3616,0,0,1153,842,918,4001,2054,1213
"39",2020-08-30,0,1136,1107,0,2,2014,3001,0,0,804,576,890,2801,1380,1039
"40",2020-08-31,0,2077,597,0,0,1187,2434,42,66,1056,1256,778,4315,2053,1511
"41",2020-09-01,0,1378,317,0,0,715,1442,413,325,791,852,474,2781,1250,955
"42",2020-09-02,148,2178,569,0,547,1476,2589,540,497,1085,1332,746,4444,2032,767
"43",2020-09-03,273,3545,1029,0,976,3293,5087,1048,818,1715,2050,1549,7155,3451,0
"44",2020-09-04,212,2719,757,0,831,1911,3366,778,662,1408,1630,1080,5632,2590,0
"45",2020-09-05,147,2278,1063,0,605,1809,5356,870,681,1393,494,1859,4642,2254,0
"46",2020-09-06,166,2715,1302,0,869,2026,7520,1052,966,2580,0,2236,5883,3051,0
"47",2020-09-07,248,3083,847,0,936,944,4038,931,819,253,0,1169,4334,2746,0
"48",2020-09-08,273,3597,1017,0,1012,1235,4781,1029,905,1708,0,1401,3496,3608,0
"49",2020-09-09,307,3822,1161,607,1088,638,5280,1128,913,1846,0,1583,3528,3703,0
"50",2020-09-10,212,2795,1015,625,204,2094,5300,949,766,1599,269,1512,3075,3089,346
"51",2020-09-11,230,3043,1102,779,220,2283,5779,1031,834,1736,294,1644,3303,3360,376
"52",2020-09-12,229,3044,1103,779,219,2283,5778,1033,833,1733,294,1644,3303,3360,376
"53",2020-09-13,229,3043,1103,779,219,2284,5779,1032,834,1734,294,1644,3303,3360,377
"54",2020-09-14,284,3044,1103,779,220,2283,5778,1031,833,1973,293,1644,3303,3360,377
